titulo,descricao,status,data,sentimento,falta_luz_status
COBRANÇA [Editado pelo Reclame Aqui] NUM IMÓVEL QUE NÃO TEM NINGUÉM MORANDO.,"Tenho uma amiga que tem uma casa em Anchieta no Rio de Janeiro o nome dela é Maria da Gloria, resolvi ajuda-la devido a covardia q",Não respondida,2024-02-04,Negativo,normal
Vivendo no escuro,Desde quarta feira 31/01/24 por volta das 16:20 a energia acabou depois de aguardar por alguns momentos e não ter o serviço restab,Não respondida,2024-02-04,Neutro,normal
Falta de energia elétrica - Empresa Magia Animal Raçoes e Acessorios - Estrada do Dende 1560 loja B - Ilha do Governador.,"Como é fato publico e notório, a região da Ilha do Governador, onde possuo um pequeno comercio de Pet Shop, vem sofrendo há muito",Não respondida,2024-02-04,Neutro,falta de luz
Contrato encerrado,segue o código de instalação*******Código do cliente32149518rua dois de fevereiro 1470 bl 3 apt 403,Não respondida,2024-02-04,Positivo,normal
Falta de luz e Recusa em fornecer os protocolos,"Liguei pra empresa diversas vezes relatando a falta de luz no imovel, todas as vezes me informavam que a equipe estaria vindo, mas",Não respondida,2024-02-04,Negativo,falta de luz
Sem luz a 3 dias,"Já solicitei o reparo no posto no dia 1 de Janeiro e até o momento ninguém compareceu para realizar o reparo, Nossa galeria",Não respondida,2024-02-04,Negativo,falta de luz
Nome no Serasa,Recebi hoje um comunicado do Serasa avisando que a empresa Light Serviços de Eletricidade solicitou abertura de cadastro negativo,Não respondida,2024-02-04,Neutro,normal
"Light deixa cliente 5 dias sem luz, com contas Pagas!","2 contas atrasadas. Dia 31/01/2024. A light corta a luz. Dia 01/02/2024 as contas são pagas. Entro no site da light, peço religaç",Não respondida,2024-02-04,Negativo,falta de luz
"Light e zoop, conta paga e nome negativado","Efetuei o pagamento da conta , conta esta retirada do site da light, e para minha supresa meu nome foi negativado, venho tendo res",Não respondida,2024-02-04,Neutro,normal
Aparelho danificado por conta do pico de luz,"No dia 02/02/2024, entre 19:00-19:30, houve um pico de energia que queimou o meu computador. Estou fazendo um chamado para que pos",Não respondida,2024-02-04,Negativo,normal
Residência sem energia elétrica.,Já tem mais de 15 dias que estou sem o fornecimento de energia.Fiz várias ligações com pedido de visita técnica e a empresa,Não respondida,2024-02-04,Neutro,falta de luz
Light instalou meu relógio em outro apartamento,"Dia 26/01/2024 solicitamos a instalação de um relógio no apartamento. Apartamento que nunca teve relógio instalado, as chaves fora",Não respondida,2024-02-04,Negativo,normal
Serasa,"Recebi hoje dia 2 de Fevereiro de 2024 uma notificação por e-mail no Serasa informando, que a light pediu a inclusão do meu nome g",Não respondida,2024-02-04,Negativo,normal
Impedimento de cancelar solicitação,"Fiz por acidente a solicitação do cancelamento do contrato vigente, imediatamente liguei para empresa para cancelar a solicitação",Não respondida,2024-02-03,Neutro,normal
