id,titulo,descricao,status,data
1,COBRANÇA [Editado pelo Reclame Aqui] NUM IMÓVEL QUE NÃO TEM NINGUÉM MORANDO.,"Tenho uma amiga que tem uma casa em Anchieta no Rio de Janeiro o nome dela é Maria da Gloria, resolvi ajuda-la devido a covardia q",Não respondida,Há 1 hora
2,Vivendo no escuro,Desde quarta feira 31/01/24 por volta das 16:20 a energia acabou depois de aguardar por alguns momentos e não ter o serviço restab,Não respondida,Há 1 hora
3,Falta de energia elétrica - Empresa Magia Animal Raçoes e Acessorios - Estrada do Dende 1560 loja B - Ilha do Governador.,"Como é fato publico e notório, a região da Ilha do Governador, onde possuo um pequeno comercio de Pet Shop, vem sofrendo há muito",Não respondida,Há 2 horas
4,Contrato encerrado,segue o código de instalação*******Código do cliente32149518rua dois de fevereiro 1470 bl 3 apt 403,Não respondida,Há 2 horas
5,Falta de luz e Recusa em fornecer os protocolos,"Liguei pra empresa diversas vezes relatando a falta de luz no imovel, todas as vezes me informavam que a equipe estaria vindo, mas",Não respondida,Há 3 horas
6,Sem luz a 3 dias,"Já solicitei o reparo no posto no dia 1 de Janeiro e até o momento ninguém compareceu para realizar o reparo, Nossa galeria",Não respondida,Há 4 horas
7,Nome no Serasa,Recebi hoje um comunicado do Serasa avisando que a empresa Light Serviços de Eletricidade solicitou abertura de cadastro negativo,Não respondida,Há 4 horas
8,"Light deixa cliente 5 dias sem luz, com contas Pagas!","2 contas atrasadas. Dia 31/01/2024. A light corta a luz. Dia 01/02/2024 as contas são pagas. Entro no site da light, peço religaç",Não respondida,Há 5 horas
9,"Light e zoop, conta paga e nome negativado","Efetuei o pagamento da conta , conta esta retirada do site da light, e para minha supresa meu nome foi negativado, venho tendo res",Não respondida,Há 11 horas
10,Aparelho danificado por conta do pico de luz,"No dia 02/02/2024, entre 19:00-19:30, houve um pico de energia que queimou o meu computador. Estou fazendo um chamado para que pos",Não respondida,Há 13 horas
11,Residência sem energia elétrica.,Já tem mais de 15 dias que estou sem o fornecimento de energia.Fiz várias ligações com pedido de visita técnica e a empresa,Não respondida,Há 13 horas
12,Light instalou meu relógio em outro apartamento,"Dia 26/01/2024 solicitamos a instalação de um relógio no apartamento. Apartamento que nunca teve relógio instalado, as chaves fora",Não respondida,Há 13 horas
13,Serasa,"Recebi hoje dia 2 de Fevereiro de 2024 uma notificação por e-mail no Serasa informando, que a light pediu a inclusão do meu nome g",Não respondida,Há 14 horas
14,Impedimento de cancelar solicitação,"Fiz por acidente a solicitação do cancelamento do contrato vigente, imediatamente liguei para empresa para cancelar a solicitação",Não respondida,Há 15 horas
15,Sobrecarregaram gerador com 2 prédios - falta de luz frequente,Toda semana acaba a luz aqui no prédio do Cond alfa barra 1. Prédio alfa Plaza(Rj - barra da Tijuca) Técnico de,Não respondida,Há 15 horas
16,"Fiz uma contestação com a Light, tanto na ouvidoria quanto no atendimento presencial (protocolo*******), a qual foi proferida, uma","Fiz uma contestação com a Light, tanto na ouvidoria quanto no atendimento presencial (protocolo*******), a qual foi proferida, uma",Não respondida,Há 15 horas
17,DEMORA NA TROCA DA TITULARIDADE,"Estou tentando trocar a titularidade e não recebo nenhum retorno no email, fiz o primeiro pedido dia 12 de janeiro e o 2 foi dia 2",Não respondida,Há 15 horas
18,Falta de luz,"No dia 31/01/2024 faltou luz na minha minha rua devido a um fio partido, por causa de uma árvore. Entrei de pronto em contat",Não respondida,Há 15 horas
19,Relógio pegou fogo,"Relógio pegou fogo novamente, os moradores tiveram que apagar com extintor. Era 8h da manhã entrando em contato com a light.",Não respondida,Há 16 horas
20,Não tem como enviar comprovante de pagamento,"Paguei a minha conta de dezembro/23, mas eles não baixaram no sistema e ela consta como aberto ainda e não tem opção no Site Agenc",Não respondida,Há 16 horas
21,COBRANÇA [Editado pelo Reclame Aqui] NUM IMÓVEL QUE NÃO TEM NINGUÉM MORANDO.,"Tenho uma amiga que tem uma casa em Anchieta no Rio de Janeiro o nome dela é Maria da Gloria, resolvi ajuda-la devido a covardia q",Não respondida,Há 1 hora
22,Vivendo no escuro,Desde quarta feira 31/01/24 por volta das 16:20 a energia acabou depois de aguardar por alguns momentos e não ter o serviço restab,Não respondida,Há 1 hora
23,Falta de energia elétrica - Empresa Magia Animal Raçoes e Acessorios - Estrada do Dende 1560 loja B - Ilha do Governador.,"Como é fato publico e notório, a região da Ilha do Governador, onde possuo um pequeno comercio de Pet Shop, vem sofrendo há muito",Não respondida,Há 2 horas
24,Contrato encerrado,segue o código de instalação*******Código do cliente32149518rua dois de fevereiro 1470 bl 3 apt 403,Não respondida,Há 2 horas
25,Falta de luz e Recusa em fornecer os protocolos,"Liguei pra empresa diversas vezes relatando a falta de luz no imovel, todas as vezes me informavam que a equipe estaria vindo, mas",Não respondida,Há 3 horas
26,Sem luz a 3 dias,"Já solicitei o reparo no posto no dia 1 de Janeiro e até o momento ninguém compareceu para realizar o reparo, Nossa galeria",Não respondida,Há 4 horas
27,Nome no Serasa,Recebi hoje um comunicado do Serasa avisando que a empresa Light Serviços de Eletricidade solicitou abertura de cadastro negativo,Não respondida,Há 4 horas
28,"Light deixa cliente 5 dias sem luz, com contas Pagas!","2 contas atrasadas. Dia 31/01/2024. A light corta a luz. Dia 01/02/2024 as contas são pagas. Entro no site da light, peço religaç",Não respondida,Há 5 horas
29,"Light e zoop, conta paga e nome negativado","Efetuei o pagamento da conta , conta esta retirada do site da light, e para minha supresa meu nome foi negativado, venho tendo res",Não respondida,Há 11 horas
30,Aparelho danificado por conta do pico de luz,"No dia 02/02/2024, entre 19:00-19:30, houve um pico de energia que queimou o meu computador. Estou fazendo um chamado para que pos",Não respondida,Há 13 horas
31,Residência sem energia elétrica.,Já tem mais de 15 dias que estou sem o fornecimento de energia.Fiz várias ligações com pedido de visita técnica e a empresa,Não respondida,Há 13 horas
32,Light instalou meu relógio em outro apartamento,"Dia 26/01/2024 solicitamos a instalação de um relógio no apartamento. Apartamento que nunca teve relógio instalado, as chaves fora",Não respondida,Há 13 horas
33,Serasa,"Recebi hoje dia 2 de Fevereiro de 2024 uma notificação por e-mail no Serasa informando, que a light pediu a inclusão do meu nome g",Não respondida,Há 14 horas
34,Impedimento de cancelar solicitação,"Fiz por acidente a solicitação do cancelamento do contrato vigente, imediatamente liguei para empresa para cancelar a solicitação",Não respondida,Há 15 horas
35,Sobrecarregaram gerador com 2 prédios - falta de luz frequente,Toda semana acaba a luz aqui no prédio do Cond alfa barra 1. Prédio alfa Plaza(Rj - barra da Tijuca) Técnico de,Não respondida,Há 15 horas
36,"Fiz uma contestação com a Light, tanto na ouvidoria quanto no atendimento presencial (protocolo*******), a qual foi proferida, uma","Fiz uma contestação com a Light, tanto na ouvidoria quanto no atendimento presencial (protocolo*******), a qual foi proferida, uma",Não respondida,Há 15 horas
37,DEMORA NA TROCA DA TITULARIDADE,"Estou tentando trocar a titularidade e não recebo nenhum retorno no email, fiz o primeiro pedido dia 12 de janeiro e o 2 foi dia 2",Não respondida,Há 15 horas
38,Falta de luz,"No dia 31/01/2024 faltou luz na minha minha rua devido a um fio partido, por causa de uma árvore. Entrei de pronto em contat",Não respondida,Há 15 horas
39,Relógio pegou fogo,"Relógio pegou fogo novamente, os moradores tiveram que apagar com extintor. Era 8h da manhã entrando em contato com a light.",Não respondida,Há 16 horas
40,Não tem como enviar comprovante de pagamento,"Paguei a minha conta de dezembro/23, mas eles não baixaram no sistema e ela consta como aberto ainda e não tem opção no Site Agenc",Não respondida,Há 16 horas
41,Uma vergonha essa empresa#,"Todo santo dia virou hábito de acabar a luz..estamos sem luz...não aguento mais,não está chovendo nem relampejando todo dia acaba",Não respondida,Há 16 horas
42,Sem energia desde o dia 31/01/2024,"Boa noite . Estou sem energia ja a quase 3 dias , é desumano o que essa empresa esta fazendo com os consumidores . Ramos na Av dos",Não respondida,Há 16 horas
43,Dificuldade na troca da titularidade,"Acabei de alugar um apartamento, cujo código de instalação é******* e estou tentando fazer a troca de titularidade pra religar a e",Não respondida,Há 17 horas
44,cobrança abusiva na fatura,recebi uma fatura com consumo 6 vezes maior do que o meujá fiz reclamação na ouvidoria que informou não haver nenhum sinal d,Não respondida,Há 17 horas
45,Estou sendo cobrado por uma conta que já paguei.,"Minha conta venceu no dia 20 de dezembro 2023, paguei no dia 2 de janeiro de 2024,:e consta no sistema que tenho esse débito. No d",Não respondida,Há 17 horas
46,PAGUEI UMA CONTA ACESSANDO UM SITE DE EMISSÃO DE SEGUNDA VIA DA EMPRESA E DEPOIS DESCOBRI QUE HAVIA SOFRIDO UM [Editado pelo Reclame Aqui],"No dia de 07/12/2023, realizei o pagamento de uma conta da ligth no valor de R$ 370, 93 (trezentos e setenta reais e noventa e trê",Não respondida,Há 17 horas
47,Energia caindo toda noite,"Toda noite a energia simplesmente caí, oscila o tempo inteiro. A luz fica piscando o tempo inteiro, fica tão baixa que é impossíve",Não respondida,Há 17 horas
48,Falta de Luz Ilha do governador (4),Falta de luz Estou tendo falta de luz frequente no meu bairro.Irei registrar uma reclamação para cada falta de l,Não respondida,Há 18 horas
49,Falta de agendamento para serviço de alteração de carga,"Dia 17/01/24 fui a light pedir alteração de carga, já estava tudo pronto em casa de acordo com padrão light exigido. Ao fazer a so",Não respondida,Há 18 horas
50,Poda de Árvore,"Na Rua Luis Vahia Monteiro na altura do número 138, no Jardim Guanabara, Ilha do Governador, tem uma árvore que se encontra junto",Não respondida,Há 18 horas
51,Poda de Árvore,"Na Rua Luis Vahia Monteiro na altura do número 138, no Jardim Guanabara, Ilha do Governador, tem uma árvore que se encontra junto",Não respondida,Há 18 horas
52,Falta de luz recorrente,Falta luz no bairro de campo grande recorrentemente. Várias vezes ao dia o fornecimento e interrompido e esse problema já se esten,Não respondida,Há 19 horas
53,A LIGHT ESTÁ FALINDO?,"Sou cliente da Light a mais de 40 anos, mas o respeito e a consideração com os seus consumidores é menos que zero.E isso aco",Não respondida,Há 19 horas
54,QUEDA DE LUZ E QUEIMA DE ELETRODOMÉSTICO,"No meu condomínio costuma ter muitas quedas de luz e dentre uma dessas quedas a minha televisão pifou. Abri protocolo, fiz orçame",Não respondida,Há 19 horas
55,FALTA DE RESPEITO,"Sou morador da Rua Uruguai a mais de 30 anos, do numero 1572, ao lado do Tijuca Country. Sempre tivemos faltas constantes de luz,",Não respondida,Há 20 horas
56,Aumento de carga para trifásico,"Eu e minha esposa, minha enteada e meu netinho autista moramos em nossa casa, no dia 05 de janeiro de 2024 e fi",Não respondida,Há 20 horas
57,FALTA DE BAIXA EM PAGAMENTO,"oa tarde,Realizei o pagamento da conta referente ao mês de janeiro de 2024 em 18/01/2024, porém ainda consta como pend",Não respondida,Há 20 horas
58,Poste caído há dois dias e estou sem luz,"Poste caiu próximo a minha residência a light esteve no local mexeu o poste continuou no chão o poste ,eu estou sem luz a dois dia",Não respondida,Há 20 horas
59,Cabo cortado,Estou sem débito.estou a mais de 10 dias ligando para a light solicitando que religuem o cabo cortado. Até o momento só enviam car,Não respondida,Há 20 horas
60,Risco iminente de acidente,"Cabos energizados cruzando a rua com altura do asfalto em torno de 3,5 metros devido ao desprendimentos das abraçadeiras de fixaçã",Não respondida,Há 20 horas
61,Cobrança exorbitante da conta de luz,"Me mudei há 3 meses, e em nov e dez a minha conta de luz veio no valor coerente aos meus gastos de energia. Eis que recebo a",Não respondida,Há 20 horas
62,A Light ameaça seus clientes sem razão,A concessionária de energia elétrica Light envia os dados de seus clientes para o SERASA sem qualquer outro tipo de contato. Minha,Não respondida,Há 20 horas
63,Conta com leitura estimada (GD),Foi realizada a troca do medidor para o bidirecional na data 20/12/2023. Emitiram uma fatura com leitura do dia,Não respondida,Há 21 horas
64,SEM LUZ A DIVERSOS DIAS E DEMORA NO RELIGAMENTO,Venho por meio desta reclamação relatar que estou tendo problemas relacionados ao serviço da LIGHT. Foi solicitado na terça-feira,Não respondida,Há 21 horas
65,Condomínio sem luz,"Estamos com uma fase desbalanceada e com isso parte do prédio está sem luz, assim como os elevadores estão parados bem como a bomb",Não respondida,Há 21 horas
66,Produtos estragados,"Caros, estou a mais de 24horas sem uma fase da energia, e o meu freezer não funciona, os produtos da minha loja estragaram, e não",Não respondida,Há 1 dia
67,Equipamento Queimado,"Em virtude da falta de luz em Copacabana no dia 28/01/24, minha TV parou de funcionar . Chamei a assistência técnica da Samsung qu",Não respondida,Há 1 dia
68,Não consigo acessar o portal da light para verificar minha dívida,"A light está me cobrando uma dívida, não consigo acessar o portal para verificar minha dívida, sempre apresenta erro.",Não respondida,Há 1 dia
69,Falta de Luz por problema de cabo queimado na rua.,Estou sem luz desde a madrugada do dia 31/01 devido um curto no poste na rua que acabou danificando o cabo de energia da light que,Não respondida,Há 1 dia
70,Troca de E-mail,"Bom dia, venho aqui indignada pois estou a 2 meses tentando trocar o e-mail para que eu possa entrar no app e não consigo. É um ab",Não respondida,Há 1 dia
71,Falta de luz na ilha do governador tv queimou.,"Ontem, 01.02.24 a ilha do governador sofreu mais uma vez com a instabilidade de luz. Por todo dia a luz chegava e caia o tem",Não respondida,Há 1 dia
72,Cobrança desproporcional de taxa mínima,"Tenho um imóvel que neste momento não está sendo utilizado e sou cobrada R$ 106,00 referente a 100 kw somente por ser um imóvel tr",Não respondida,Há 1 dia
73,SEM LUZ HÁ 48 HORAS,"Estou há dois dias sem energia elétrica! Fiquei sem luz, chamei um eletricista e ele me informou que meu relógio estava em curto.",Não respondida,Há 1 dia
74,Light não concede bolero de acordo,"Fiz uma negociação de contas abertas, pelo aplicativo da light, conforme orientações do WhatsApp que na verdade não te ajuda em na",Não respondida,Há 1 dia
75,SISTEMA DE RECLAMAÇÕES LIGHT NÃO REGISTRA AS SOLICITAÇÕES DOS CLIENTES,"Sou beneficiário do CADÚnico e a empresa Light retirou dos meus registros a inscrição na TARIFA SOCIAL, sem motivo algum, porque m",Não respondida,Há 1 dia
76,Empresa displicente com chaperó,O bairro de chaperó na gleba A sofre há anos com o descaso da empresa light. São várias ruas que ficam sem luz a qualquer hora do,Não respondida,Há 1 dia
77,NÃO RECEBIMENTO DE FATURA COMPLETA,Há muito a empresa deixou de me enviar as faturas impressa ou por email. Quando tendo obter pela Agência Virtual não consigo aces,Não respondida,Há 1 dia
78,Aumento de luz dobrado,"Meu histórico de consumo da light sempre vinha no máximo 300kwh. De novembro pra cá, mesmo não mudando nada em casa, meu histórico",Não respondida,Há 1 dia
79,Relógio Velocista,Sou cliente da light há mais de 10 anos em 4 imóveis diferentes. A light possui meu histórico de consumo de 10 anos.No,Não respondida,Há 1 dia
80,Queda de luz,"Hoje, 02/02/2024, estou com minha geladeira desligada, com risco de meus alimentos estragar porque o fornecimento de energia está",Não respondida,Há 1 dia
81,Cobrança não chega,"Todo mês é uma luta para tentar pegar a conta de luz, a conta não chega ao meu endereço o WhatsApp que era o meio mais simples de",Não respondida,Há 1 dia
82,Sem luz,Estou sem luz na minha loja desde terça feira dia 30/01 de manhã. Tenho um monte de protocolos e não me atendem! As atendentes diz,Não respondida,Há 1 dia
83,Falta de energia e descaso com o cliente,"Estou sem energia desde o dia 31/01/2024, onde quando tem aparece oscilando, ou seja é um problema na fase. Foi detectado que um g",Respondida,Há 1 dia
84,Conta paga consta em aberto,"A conta com vencimento de dezembro foi paga, tendo boleto emitido no próprio site da empresa, veio o boleto junto com a conta. A c",Respondida,Há 1 dia
85,"Novamente aqui sobre o mesmo assunto, preciso do envio da última parcela do meu acordo","Tenho um acordo que foi feito em 7x, já paguei 6 parcelas, preciso do envio da última e a light não me encaminha, novamente abrind",Não respondida,Há 1 dia
86,48 horas sem luz,"Prezados, já estamos a quase 48 horas sem luz, por um problema que já vem acontecendo com frequência, infelizmente fazem o reparo",Respondida,Há 1 dia
87,Ligacao direta,Ligação direta aparente em dois imóveis localizados dentro de um condomínio situado na Estrada das Agulhas Negras,Não respondida,Há 1 dia
88,Minha energia em uma fase a ponto de queimar eletrodomésticos,"Boa tarde ,estou desde o dia 21/12/2023 com queda de energia, fica só em uma fase ,antes era só em tempo de muito calor,agora no t",Respondida,Há 2 dias
89,Mato esbarrando na fiação,"Tentei registar emergência no próprio site da light, porém está aparecendo que está com erro no servidor, devido o mato está esbar",Respondida,Há 2 dias
90,Pix do site,"Entrei no site da light e copiei o pix para efetuar o pagamento, efetuei e está no nome de uma JMM Investimentos e o valor não foi",Respondida,Há 2 dias
91,Falta de luz na Ilha do Governador,"É um descaso o que a Light está fazendo com a Ilha do Governador durante a ""manutenção"" que está ocorrendo há mais de um",Respondida,Há 2 dias
92,Duplicidade de pagamento,"Boa noite, Fiz o pagamento de conta referente ao mês 11/2023 duas vezes. O pagamento em duplicidade foi feito di",Não respondida,Há 2 dias
93,Alterar e-mail e telefone no perfil de usuário.,"Preciso com urgência alterar o e-mail e telefone cadastrado no perfil de usuário na agência virtual do meu pai. Como ele é idoso,",Não respondida,Há 2 dias
94,Conta errada cód.cliente 21392071,Coloquei energia solar em minha residência e pra minha surpresa a primeira conta não veio abatendo a energia gerada pela minhas pl,Respondida,Há 2 dias
95,Nome no SPC,"Meu nome está no SPC já tem 1 mês como no meu endereço tem 3 instalações, 1 no meu nome e duas no nome do meu marido, e a do meu m",Respondida,Há 2 dias
96,Oscilação de Luz,Sou proprietária do imóvel e no prédio tem 4 relógios no qual em um a energia está no nome do meu marido Gilmar Garcia Gonçalves c,Não respondida,Há 2 dias
97,Cortaram minha luz cobrança [Editado pelo Reclame Aqui],"Cortaram minha luz por duas vezes com a conta paga, estão me cobrando uma conta de mês 11/2023 a conta foi paga por pix e eu já li",Não respondida,Há 2 dias
98,Dano no celular - Limitações nas opções de ressarcimento de eletros,"Entre 2h30 da manhã e 3h30, houveram algumas quedas de energia, presenciei 3 quedas pois estava assistindo TV, ambas levaram pouco",Respondida,Há 2 dias
99,Light [Editado pelo Reclame Aqui] o consumidor pagante,"No dia 30 de janeiro de 2024, a light interrompeu o fornecimento indevidamente do meu apartamento. Sem qualquer aviso ou justifica",Respondida,Há 2 dias
100,Falta de energia constante.,Sou morador da cidade de Paracambi RJ e venho por meio desta deixar minha indignação devido às constantes falta de energia na cida,Respondida,Há 2 dias
101,Consumo alteração,"É impossível que minha conta de luz do mês de dezembro e janeiro estejam no valores de 720,31 e 420,00, pois meus consumos são sem",Respondida,Há 2 dias
102,Ameaça de colocação do nome no serasa,"Ainda não fez um mês que a minha conta atrasou eles já estão me comunicando que irão negativar o meu nome, colocando o meu nome n",Respondida,Há 2 dias
103,ESTOU SEM LUZ DESDE O DIA 16/01/24,"Ja entrei em contato com a ouvidoria, eneel e nada resolveram. estou sem luz em minha residência desde o dia 16/01/24 . a ouvidori",Respondida,Há 2 dias
